device_angle,distance_to_door,AM_or_PM,mall_or_street,average_person_size,video_walkin,video_walkout,predict_walkin,predict_walkout,wifi_walkin,wifi_walkout,sales_in_next_15_min,sales_in_next_15_to_30_min,groundtruth_walkin
2,2,1,1,4376.0,0,0,0,0,0,2,1,0,0
3,1,1,2,1506.0,10,12,11,12,39,45,0,1,8
2,1,0,1,1161.0,8,9,14,13,18,15,1,3,13
3,1,1,1,1327.5,34,41,34,32,10,8,1,1,32
2,2,1,1,1252.5,11,18,5,10,1,4,3,0,3
2,2,1,2,3057.5,6,7,5,6,0,1,2,0,5
3,2,1,2,1811.0,4,2,8,9,3,3,0,1,4
2,2,1,2,3057.5,6,6,10,8,1,1,0,0,0
2,1,0,1,1161.0,5,1,24,23,17,20,0,1,10
2,2,1,1,890.0,1,2,6,6,12,10,0,0,1
3,2,0,2,1811.0,13,10,7,3,4,3,3,5,13
2,2,0,2,1224.0,1,3,5,4,12,14,1,2,2
2,2,1,1,4376.0,0,2,0,0,2,3,2,0,2
3,1,1,2,1506.0,12,19,7,7,28,27,0,1,8
3,1,0,1,1327.5,11,14,40,38,13,12,4,4,25
3,1,1,2,1506.0,13,13,8,9,48,47,2,0,8
2,2,1,2,3057.5,4,7,6,6,2,0,2,3,4
2,2,1,1,890.0,3,1,1,1,3,6,1,1,1
2,1,1,1,1161.0,35,36,37,34,46,44,10,9,101
2,2,1,1,1252.5,2,4,0,2,0,0,0,0,0
2,2,0,1,4114.0,0,2,4,2,1,0,0,0,0
2,2,1,1,4077.5,8,4,2,1,0,2,2,4,13
2,2,1,2,3057.5,0,0,5,7,4,3,3,2,0
2,2,1,1,1252.5,87,104,25,31,14,10,4,5,71
2,1,1,1,1161.0,9,8,19,20,6,13,0,0,18
2,2,1,1,1252.5,11,9,18,20,7,5,2,1,7
2,2,0,1,4077.5,11,9,1,0,2,4,0,0,6
3,1,1,1,1943.0,20,17,23,26,17,14,2,4,26
2,2,1,1,1073.25,7,12,17,13,2,1,4,1,0
3,2,1,2,1811.0,9,8,6,6,1,4,0,3,9
3,1,0,2,1506.0,13,13,6,6,48,47,0,2,5
2,2,1,1,4114.0,0,1,2,1,3,3,0,0,2
2,2,1,1,4114.0,0,0,0,0,0,0,0,0,0
3,1,1,2,1506.0,10,11,10,10,48,53,1,0,9
2,2,0,1,4114.0,2,1,2,2,0,1,0,0,3
2,2,1,2,3057.5,3,5,8,5,0,0,2,0,5
2,2,1,1,4077.5,2,4,0,0,2,6,3,6,8
3,1,1,1,1327.5,20,16,0,0,5,11,2,0,22
2,2,1,1,4114.0,0,0,0,0,0,0,0,0,0
3,1,1,1,1327.5,12,16,19,21,7,4,3,2,15
3,1,0,2,1506.0,9,6,5,5,18,14,1,0,3
3,2,0,2,1811.0,9,6,3,3,1,0,0,1,7
3,1,1,1,2299.5,5,6,16,17,11,10,0,0,0
3,1,1,1,2299.5,0,0,1,1,5,6,0,0,0
2,2,0,1,2064.333333,14,9,0,0,0,0,2,2,10
2,2,0,1,4077.5,7,7,2,2,2,5,1,0,16
3,2,1,2,1811.0,12,6,11,9,1,2,0,3,9
3,1,0,2,1506.0,0,0,0,0,16,18,0,0,0
2,2,1,2,1224.0,7,8,10,10,15,11,0,2,12
2,2,1,1,4376.0,2,2,0,0,1,1,1,0,1
2,1,1,1,1161.0,27,29,23,24,44,45,1,4,91
2,2,1,2,1224.0,15,16,7,7,11,14,1,2,7
2,2,0,1,4114.0,1,1,4,2,0,0,0,0,4
2,2,0,2,3057.5,0,0,3,4,1,0,1,1,3
2,2,1,2,1224.0,4,1,5,5,5,8,1,1,1
3,1,1,2,1506.0,13,7,11,9,23,29,1,2,7
3,2,1,2,1811.0,2,2,0,0,0,0,0,0,2
2,2,1,1,2485.5,4,7,9,8,14,17,0,0,17
2,2,1,1,3571.5,2,2,0,0,1,1,0,0,0
1,1,0,1,3384.5,33,31,10,9,20,10,3,6,50
2,2,1,1,2064.333333,18,21,0,0,1,3,1,2,1
2,1,1,1,1161.0,41,42,27,24,43,53,3,6,106
2,2,1,1,1252.5,107,90,30,34,11,22,4,4,74
2,2,0,1,4376.0,0,0,0,0,3,2,0,1,1
1,1,1,1,3384.5,7,11,28,27,11,9,1,3,12
2,2,1,1,1252.5,16,15,26,23,2,5,1,2,19
3,1,1,1,1327.5,16,15,0,0,8,7,2,2,20
2,2,0,1,1073.25,14,11,7,8,4,6,0,2,2
2,2,1,1,2064.333333,0,0,0,0,2,1,0,0,0
3,1,1,1,2299.5,16,17,22,20,12,9,1,0,13
2,2,1,1,2360.5,5,7,3,3,10,10,1,0,6
2,2,0,1,2360.5,8,7,5,3,5,8,0,3,10
2,2,0,1,1252.5,14,16,21,18,2,2,1,1,12
3,1,0,2,1506.0,14,16,6,6,33,27,2,2,10
2,1,1,1,1161.0,26,28,23,22,37,45,6,10,74
3,2,1,2,1811.0,1,4,6,3,3,2,1,0,2
1,1,0,2,1852.0,2,3,4,1,10,2,1,1,3
2,2,1,1,4376.0,0,0,0,0,0,0,3,1,1
3,2,1,2,1811.0,5,11,12,13,4,5,3,3,5
2,1,0,1,1161.0,3,3,12,11,11,7,0,1,9
2,2,1,1,890.0,0,1,3,4,2,1,1,0,0
2,2,1,1,2064.333333,11,13,0,0,0,1,0,1,1
2,2,1,1,3571.5,0,0,0,0,4,1,0,0,0
3,1,1,1,1943.0,12,13,14,15,5,11,1,2,9
3,1,1,2,1506.0,0,0,6,8,19,13,0,0,0
2,2,1,2,3057.5,0,0,8,8,0,2,1,1,3
2,2,1,1,1073.25,1,2,10,10,1,1,0,0,0
1,1,1,1,3384.5,2,6,1,1,4,8,2,0,0
1,1,1,1,3384.5,23,17,22,25,21,23,1,3,28
3,1,0,2,1506.0,0,0,0,0,7,6,0,0,0
2,2,1,2,1224.0,9,9,9,8,4,4,3,2,8
2,2,0,2,3057.5,5,1,6,5,0,0,0,1,3
2,2,0,2,3057.5,10,6,8,6,2,1,1,1,3
2,2,1,1,890.0,9,7,2,2,1,1,0,0,3
3,1,1,1,2299.5,8,12,25,25,11,7,1,1,17
2,2,1,1,4077.5,10,5,7,6,5,4,2,3,14
2,2,1,1,2485.5,0,2,1,1,11,15,0,0,0
2,2,1,1,4376.0,0,0,0,0,2,3,1,2,2
3,1,1,2,1506.0,0,0,5,5,23,19,1,0,0
2,2,0,1,3571.5,6,6,2,3,2,4,0,0,5
2,2,1,1,1252.5,27,34,11,14,6,4,4,2,33
3,1,1,1,1943.0,13,13,18,18,11,6,4,2,21
3,1,1,2,1506.0,16,10,5,6,18,19,0,0,5
2,2,1,1,1252.5,0,0,1,2,0,2,0,0,0
2,2,1,1,4077.5,2,4,1,3,1,3,0,0,3
2,2,1,2,3057.5,5,4,4,6,1,1,3,3,6
3,1,1,1,1327.5,32,31,41,41,16,15,7,3,39
2,2,0,1,4077.5,9,4,2,3,1,2,7,3,9
3,1,1,2,1506.0,8,10,12,24,21,23,0,0,3
3,1,0,2,1506.0,2,3,8,7,37,38,0,2,3
3,1,1,1,2299.5,21,22,16,16,16,14,1,1,22
3,2,1,2,1811.0,1,1,3,4,1,1,1,0,1
2,2,1,1,4114.0,14,15,2,3,1,0,0,0,7
2,2,1,1,4376.0,0,0,0,0,0,1,0,0,4
3,2,1,2,1811.0,5,5,4,6,4,7,1,0,5
2,2,0,1,4114.0,5,4,0,0,4,2,0,0,14
3,1,1,1,1327.5,19,19,0,0,10,8,4,5,19
2,2,1,1,1252.5,20,32,24,21,4,6,2,3,26
3,1,0,2,1506.0,11,9,4,5,19,22,1,1,6
2,2,1,1,890.0,0,0,3,2,1,2,1,0,0
2,2,1,2,1224.0,35,37,6,7,7,6,2,2,0
2,2,1,1,1073.25,4,7,4,7,1,3,1,0,0
2,2,1,1,2064.333333,21,15,0,0,4,4,2,4,7
2,2,1,1,890.0,0,0,1,2,0,0,0,0,0
1,1,1,2,1852.0,0,0,7,7,7,8,1,1,2
3,1,1,1,2299.5,17,17,16,16,12,5,0,4,14
1,1,0,2,1852.0,0,0,6,6,11,12,0,0,2
3,2,1,2,1811.0,10,10,7,11,3,4,1,5,17
3,1,0,1,1327.5,41,29,25,23,14,14,4,5,47
3,1,1,1,2299.5,32,31,16,18,9,7,3,1,35
2,2,0,1,4077.5,10,10,3,2,5,3,3,2,21
3,1,1,1,2299.5,23,23,21,22,16,16,1,1,29
3,2,1,2,1811.0,4,5,6,8,2,3,0,1,5
2,2,1,1,4114.0,9,5,1,3,2,0,0,0,12
2,2,0,1,1073.25,5,6,0,0,1,3,2,0,0
3,1,1,1,1327.5,26,30,34,33,14,14,4,8,42
2,2,0,1,2360.5,1,3,5,4,11,6,0,1,1
2,2,1,1,1252.5,20,19,33,27,5,4,0,5,18
3,1,1,2,1506.0,13,11,4,4,51,46,0,1,6
3,1,1,1,1327.5,19,19,15,18,5,5,1,3,27
2,2,1,1,3571.5,1,2,4,6,2,3,1,0,0
2,2,1,1,4077.5,0,1,6,5,1,1,0,0,6
2,2,1,1,4114.0,11,4,2,1,1,1,0,0,14
2,2,1,1,2360.5,4,3,2,1,9,15,0,2,4
3,1,1,2,1506.0,5,5,13,11,30,31,1,1,4
2,2,1,1,1252.5,19,10,33,30,1,3,1,4,20
1,1,1,1,3384.5,38,33,25,22,37,43,3,5,81
2,1,1,1,1161.0,13,14,27,27,23,21,2,2,28
3,2,1,2,1811.0,5,4,7,5,3,0,2,1,5
2,2,1,1,4376.0,0,0,0,0,2,1,0,1,1
3,1,1,2,1506.0,17,14,7,7,21,17,0,1,5
2,2,1,1,890.0,3,4,3,3,2,4,0,0,5
1,1,1,1,3384.5,2,6,0,0,1,2,0,0,0
3,1,1,2,1506.0,3,4,15,13,22,16,0,0,4
2,2,1,1,2064.333333,18,19,0,0,0,0,3,1,3
2,2,1,1,1252.5,65,64,22,23,19,14,5,10,68
3,1,1,2,1506.0,9,12,8,9,34,33,0,0,6
1,1,1,1,3384.5,8,5,19,19,11,17,2,2,19
3,1,1,1,2299.5,15,14,21,22,12,10,1,1,20
3,1,1,1,1943.0,8,13,13,12,8,10,1,2,13
3,2,1,2,1811.0,2,1,9,7,2,3,0,1,6
3,1,1,1,2299.5,23,18,15,13,5,7,1,1,27
2,2,1,1,3571.5,1,2,2,1,3,3,0,1,1
3,1,1,1,1327.5,11,13,0,0,12,13,3,2,14
3,1,1,1,2299.5,7,9,18,19,11,8,0,2,11
2,1,1,1,1161.0,41,37,28,30,49,37,2,5,93
2,2,1,1,2064.333333,0,0,0,0,0,0,0,0,0
3,1,0,2,1506.0,18,17,6,5,31,32,1,1,9
2,2,0,1,1073.25,2,0,2,1,4,5,1,2,1
2,2,0,1,4077.5,4,2,3,3,3,0,3,1,4
3,2,1,2,1811.0,0,0,6,6,0,0,0,0,0
3,1,1,1,1327.5,35,44,33,34,10,13,3,2,32
3,2,1,2,1811.0,9,5,10,11,4,4,0,4,5
2,2,1,1,890.0,0,0,3,2,2,1,0,0,0
3,1,0,1,1943.0,18,15,4,2,3,5,4,1,18
2,2,1,1,2360.5,1,1,4,4,5,5,1,0,1
1,1,0,2,1852.0,1,2,3,1,10,8,1,0,4
1,1,0,2,1852.0,1,2,3,1,5,3,1,1,6
3,1,0,1,1943.0,1,1,5,7,8,6,0,1,2
3,1,0,2,1506.0,0,0,0,0,18,20,0,0,1
2,2,0,2,3057.5,3,1,5,5,0,0,1,0,5
3,1,1,2,1506.0,2,0,3,4,26,22,0,0,0
3,1,1,1,1943.0,11,11,21,19,12,9,3,0,21
2,2,1,1,4077.5,0,0,0,0,0,1,0,0,0
2,2,1,1,2360.5,7,6,4,4,10,13,0,1,8
1,1,1,1,3384.5,33,34,16,16,54,35,7,8,88
2,2,1,1,2360.5,0,2,6,5,2,3,1,1,2
2,2,1,1,4077.5,2,2,1,2,2,3,1,0,4
2,2,0,2,1224.0,2,2,7,7,4,2,1,0,2
2,2,1,1,2360.5,7,8,6,5,9,6,1,3,8
3,2,1,2,1811.0,4,5,9,8,1,2,2,1,4
2,1,1,1,1161.0,22,18,22,24,30,25,0,2,48
1,1,0,2,1852.0,1,4,5,3,3,1,0,2,9
2,2,1,1,3571.5,2,4,3,3,1,1,1,2,2
2,2,1,1,4114.0,4,1,4,3,2,2,0,0,3
2,2,1,2,3057.5,0,0,1,3,1,2,0,0,0
2,2,1,1,3571.5,2,1,1,1,4,3,1,0,2
2,2,1,2,3057.5,2,3,2,1,4,0,1,0,0
2,2,1,1,4114.0,0,0,1,1,2,3,0,0,1
3,1,1,1,1943.0,4,3,10,9,10,11,0,1,7
2,2,1,1,2360.5,2,2,2,3,10,11,1,2,2
2,2,1,1,890.0,2,3,2,1,0,2,1,0,5
2,2,1,1,4077.5,10,8,5,4,2,3,0,1,17
3,1,1,2,1506.0,5,8,6,8,27,23,0,0,3
2,2,1,1,2064.333333,7,9,0,0,0,0,3,2,3
3,1,1,2,1506.0,9,10,9,9,28,27,1,0,4
2,2,1,1,4114.0,5,8,2,2,3,1,0,0,11
2,2,1,2,1224.0,5,5,3,4,7,9,1,0,3
2,2,1,2,3057.5,1,0,4,3,0,0,0,1,0
3,2,1,2,1811.0,0,0,1,1,0,0,0,0,0
2,2,1,1,4114.0,9,6,3,3,2,1,0,0,10
3,1,0,2,1506.0,0,0,0,0,15,19,0,1,2
2,1,1,1,1161.0,5,5,17,16,8,10,1,0,13
2,2,1,2,3057.5,2,3,14,14,2,1,1,2,2
2,2,1,1,1252.5,20,13,10,14,5,7,1,2,13
1,1,0,2,1852.0,4,1,2,1,5,2,3,2,2
2,2,1,1,1252.5,90,116,31,32,20,21,8,4,51
1,1,1,2,1852.0,0,2,7,8,4,5,0,2,4
1,1,1,1,3384.5,53,46,22,21,54,45,10,10,92
2,2,0,2,1224.0,5,7,4,4,2,5,0,1,3
2,2,1,1,3571.5,1,2,3,2,5,4,0,0,0
2,2,1,1,4077.5,6,5,3,3,3,2,1,0,11
1,1,1,1,3384.5,33,32,15,19,62,56,7,4,99
1,1,0,1,3384.5,3,3,12,13,11,22,3,0,4
1,1,0,2,1852.0,2,0,5,4,9,6,0,0,1
2,2,1,2,3057.5,5,9,8,8,0,1,1,2,4
2,2,1,1,4114.0,1,1,4,5,0,0,0,0,5
2,2,1,1,1252.5,15,15,25,25,5,1,2,2,17
2,2,1,2,3057.5,8,4,13,14,1,4,2,1,7
3,1,0,2,1506.0,7,7,4,5,24,24,1,0,4
2,2,1,1,2360.5,1,2,5,5,13,10,1,0,9
2,2,1,1,4376.0,0,0,0,0,2,4,1,0,0
3,1,1,1,1327.5,37,35,0,0,6,11,2,4,30
3,1,1,2,1506.0,6,9,6,6,28,29,1,0,5
2,1,1,1,1161.0,7,6,28,23,22,23,0,6,17
2,2,1,1,2360.5,0,0,4,4,3,5,0,1,2
2,1,1,1,1161.0,37,35,25,26,45,45,5,4,93
2,2,1,1,4114.0,1,1,1,2,2,2,0,0,5
2,1,0,1,1161.0,6,5,10,10,5,6,1,1,27
2,1,1,1,1161.0,21,20,25,28,30,19,4,1,32
3,1,1,1,1327.5,51,46,0,0,11,6,5,4,56
2,2,1,1,2360.5,2,1,3,3,17,5,1,1,2
3,1,1,1,1327.5,0,0,0,0,2,2,0,0,0
2,1,1,1,1161.0,26,31,27,25,41,41,8,5,74
1,1,0,2,1852.0,1,4,3,3,5,3,2,1,5
2,2,1,1,3571.5,6,3,3,2,4,3,2,1,5
2,2,1,1,4376.0,0,0,0,0,4,7,1,1,4
2,2,1,1,2360.5,0,0,1,1,5,2,0,1,0
2,2,1,1,1073.25,8,9,11,10,3,3,0,3,1
2,2,1,1,4114.0,2,3,3,2,1,2,0,0,2
2,2,1,1,3571.5,0,0,0,0,4,7,0,0,0
3,2,1,2,1811.0,6,9,2,1,0,0,0,0,5
2,2,1,1,2360.5,4,7,1,1,6,5,1,1,5
2,2,1,1,890.0,0,1,2,3,4,1,0,0,0
3,2,1,2,1811.0,20,18,8,7,3,3,2,4,29
3,1,1,1,1327.5,28,28,0,0,8,10,5,5,29
3,1,1,1,1943.0,16,15,19,18,10,13,1,2,19
2,2,1,1,1252.5,8,4,28,26,0,1,0,1,8
3,1,1,2,1506.0,13,9,6,6,49,45,0,1,7
1,1,1,2,1852.0,6,9,4,3,6,7,7,2,20
2,2,1,1,4077.5,0,0,2,2,5,1,3,5,11
2,2,0,1,1073.25,17,17,4,5,2,0,2,2,6
3,1,1,2,1506.0,24,23,11,10,27,26,0,0,11
2,2,1,2,1224.0,3,3,5,5,2,7,0,0,1
2,2,1,1,890.0,0,1,2,2,3,1,1,0,2
2,2,1,1,4077.5,10,12,7,4,1,0,2,1,11
2,2,1,1,1252.5,16,24,9,12,3,6,2,1,19
3,2,1,2,1811.0,3,5,7,9,2,4,3,1,3
2,2,0,1,3571.5,2,3,4,2,2,1,1,0,2
2,2,1,1,1073.25,10,10,23,20,3,2,0,2,1
2,2,1,1,4077.5,4,2,4,2,3,2,4,2,4
2,2,0,1,2064.333333,28,22,0,0,2,3,0,0,5
2,2,1,1,4077.5,2,4,1,0,4,2,1,2,7
2,1,1,1,1161.0,17,12,18,18,9,9,3,1,30
2,2,0,1,1252.5,10,13,13,13,5,1,0,1,9
2,2,1,1,890.0,5,4,1,2,2,3,0,1,3
1,1,0,1,3384.5,13,11,15,15,7,8,0,2,18
2,2,1,2,1224.0,4,3,5,6,4,8,0,0,2
1,1,1,2,1852.0,9,9,7,5,6,7,1,0,9
2,1,1,1,1161.0,26,22,32,32,16,10,3,0,40
1,1,1,1,3384.5,5,3,26,27,5,12,1,1,10
2,1,0,1,1161.0,4,8,23,22,14,21,1,2,18
3,1,1,1,1943.0,13,18,18,17,11,12,2,1,27
3,1,0,2,1506.0,7,8,5,5,13,11,0,0,6
2,2,1,2,3057.5,7,5,6,7,1,0,2,2,6
1,1,1,1,3384.5,29,24,24,23,30,35,7,1,41
2,1,1,1,1161.0,11,10,29,29,21,13,0,2,26
3,1,1,1,2299.5,2,3,1,1,7,8,1,1,0
2,2,1,1,890.0,0,0,1,2,1,2,0,0,2
1,1,1,2,1852.0,2,1,5,5,6,5,0,1,1
2,2,1,1,4376.0,0,0,0,0,2,0,0,0,2
1,1,0,2,1852.0,6,4,4,5,3,5,3,3,12
2,2,1,2,1224.0,0,0,3,4,3,1,0,0,2
2,2,1,1,1252.5,11,8,28,28,5,4,0,3,17
2,2,0,1,3571.5,2,3,1,2,3,5,0,0,2
2,2,1,1,2360.5,16,16,4,5,5,7,2,3,13
3,1,1,1,1943.0,34,33,14,18,14,12,6,4,48
2,2,1,1,3571.5,0,0,1,1,2,2,0,2,1
2,2,1,1,1252.5,79,79,35,37,6,5,2,2,58
1,1,1,2,1852.0,4,1,1,2,6,4,2,0,5
2,2,1,1,4114.0,5,4,2,1,0,0,0,0,8
3,1,1,1,1943.0,15,15,23,23,22,13,4,1,25
2,2,1,1,4114.0,2,0,2,2,3,1,0,0,4
2,2,1,1,4077.5,4,3,1,1,1,3,0,0,1
2,2,0,2,3057.5,0,0,9,10,0,0,2,0,1
2,2,0,1,2360.5,4,3,5,5,14,3,0,1,5
2,2,0,1,4077.5,4,5,2,2,0,0,3,3,13
3,1,0,2,1506.0,9,10,8,7,27,28,0,1,6
1,1,1,2,1852.0,1,1,5,6,5,5,2,1,6
2,2,1,1,3571.5,1,2,1,1,2,2,0,1,0
2,2,0,1,1252.5,23,19,17,17,1,2,1,1,24
3,1,1,1,2299.5,6,10,24,24,13,10,1,0,9
2,2,0,1,3571.5,0,1,10,10,5,7,2,0,1
3,1,0,2,1506.0,5,5,10,9,19,22,0,0,9
2,2,1,1,2485.5,0,0,6,8,6,9,0,0,5
2,1,1,1,1161.0,22,16,30,32,15,22,1,0,32
2,2,0,1,4114.0,1,2,1,0,2,0,0,0,1
2,2,1,1,4077.5,3,3,2,1,3,2,4,5,13
3,1,1,1,2299.5,28,32,16,18,21,24,2,1,39
2,2,1,1,890.0,7,9,4,4,1,0,0,1,4
2,2,1,1,1073.25,9,8,12,8,8,8,2,3,2
3,1,1,1,1327.5,3,6,5,7,3,4,2,0,0
2,1,1,1,1161.0,30,39,30,31,34,33,5,2,79
2,1,1,1,1161.0,39,30,21,22,36,38,3,2,99
2,2,1,1,890.0,0,0,4,4,2,4,0,0,0
3,1,1,1,1943.0,15,17,5,10,7,8,2,1,17
2,2,1,1,2064.333333,0,0,0,0,0,0,0,0,4
2,2,1,1,2360.5,10,7,2,3,6,7,2,1,7
3,1,1,2,1506.0,10,10,10,8,51,50,1,0,6
3,1,1,1,2299.5,31,24,24,22,16,12,4,3,31
3,1,1,2,1506.0,10,12,7,7,33,34,1,3,8
2,2,1,1,4114.0,3,6,4,2,1,0,0,0,8
2,1,0,1,1161.0,22,16,16,11,32,10,0,4,37
2,2,1,1,4077.5,4,2,5,5,2,0,2,1,9
2,2,1,1,890.0,5,3,5,5,0,0,0,0,2
2,2,1,1,2064.333333,3,5,0,0,1,1,1,2,2
2,2,1,1,2064.333333,5,6,0,0,5,2,0,1,0
2,2,0,1,2360.5,2,2,2,4,7,4,1,0,2
2,2,1,1,3571.5,2,1,4,4,5,4,0,1,3
3,1,1,2,1506.0,12,12,6,6,38,39,0,1,4
3,1,1,1,1327.5,25,23,26,25,7,5,3,1,24
2,1,1,1,1161.0,1,2,5,8,11,16,0,0,0
2,2,1,1,4114.0,1,6,2,2,0,0,0,0,1
3,1,1,1,2299.5,45,48,22,25,20,17,2,4,66
2,2,1,1,3571.5,0,0,0,0,1,2,0,0,0
3,1,1,1,1327.5,6,7,0,0,8,4,2,1,8
3,1,1,1,1327.5,16,15,19,19,8,11,2,1,19
3,1,1,1,1327.5,29,30,56,57,17,19,4,3,59
3,1,1,1,1943.0,3,4,8,11,6,10,1,2,3
2,2,1,1,4114.0,0,1,1,2,0,1,0,0,0
2,2,1,2,1224.0,3,1,6,4,11,8,1,0,1
2,2,1,1,2064.333333,8,10,0,0,2,1,3,0,10
2,2,1,1,4114.0,2,1,2,1,2,2,0,0,3
2,2,1,1,1252.5,58,60,31,31,7,11,2,4,51
1,1,1,2,1852.0,7,7,1,1,9,7,4,0,8
1,1,1,1,3384.5,12,14,24,22,6,9,1,1,15
3,1,1,2,1506.0,7,5,9,8,20,21,0,0,2
2,2,1,1,2360.5,1,2,3,2,3,1,1,1,2
3,1,1,1,2299.5,14,15,20,21,18,15,1,0,22
2,2,1,1,1073.25,8,6,13,16,2,3,2,3,0
2,2,0,1,1073.25,12,10,5,10,2,3,2,2,2
2,2,0,1,1073.25,22,20,25,24,2,3,2,2,4
2,2,1,1,4114.0,4,2,3,2,2,5,0,0,16
1,1,1,1,3384.5,12,12,14,17,13,24,1,0,5
2,2,0,2,3057.5,2,3,1,2,0,0,0,1,2
2,2,0,1,4114.0,0,0,3,3,1,1,0,0,0
3,1,0,2,1506.0,17,17,4,4,22,19,1,2,10
1,1,1,1,3384.5,9,9,21,23,17,19,4,0,13
3,2,1,2,1811.0,9,4,7,7,6,3,1,2,11
3,1,1,1,1943.0,18,20,12,13,9,7,3,1,27
2,2,0,1,1073.25,16,17,14,10,3,0,2,1,1
3,2,1,2,1811.0,5,3,6,4,2,3,0,1,5
3,1,1,1,1943.0,15,15,20,20,5,9,3,1,15
1,1,1,1,3384.5,23,23,26,28,23,21,5,4,44
3,1,1,2,1506.0,8,12,14,14,29,36,2,2,9
2,2,0,2,1224.0,14,14,6,7,7,3,2,0,7
3,1,1,1,1327.5,9,12,0,0,3,4,0,1,9
3,1,0,2,1506.0,24,20,9,8,29,28,2,1,11
2,2,0,1,2360.5,9,7,2,2,4,2,0,1,6
2,2,1,2,3057.5,6,3,10,9,2,0,1,1,3
2,2,1,1,3571.5,0,2,0,0,2,2,1,0,9
1,1,1,1,3384.5,14,17,26,25,24,17,3,4,30
2,1,1,1,1161.0,27,28,26,25,21,18,1,4,64
2,2,1,1,4077.5,1,4,5,5,3,1,0,1,4
2,2,1,1,1252.5,14,8,24,26,1,4,1,2,17
2,2,1,1,1073.25,12,11,3,4,2,1,3,2,2
1,1,0,2,1852.0,9,4,3,2,16,18,1,1,4
3,1,1,1,1327.5,2,0,11,13,6,2,0,2,5
1,1,1,1,3384.5,15,21,19,20,19,20,4,3,20
2,2,0,1,4114.0,1,1,1,1,1,1,0,0,7
2,2,1,1,4077.5,2,2,1,0,5,2,1,3,13
3,1,1,1,1327.5,33,47,0,0,8,16,4,2,6
1,1,1,1,3384.5,13,9,31,31,11,11,2,2,17
2,2,0,2,1224.0,6,7,3,3,8,9,0,2,6
2,2,1,1,2485.5,0,0,0,0,5,10,0,0,0
2,1,1,1,1161.0,13,12,21,22,16,19,2,0,35
3,1,1,1,1327.5,41,44,30,27,7,13,4,1,41
3,1,0,2,1506.0,2,2,4,3,21,23,2,1,1
2,2,1,1,4077.5,7,5,2,3,1,3,1,1,5
2,2,1,1,4114.0,4,2,3,2,1,2,0,0,8
2,2,1,1,1252.5,12,18,31,36,3,3,1,2,12
2,2,1,1,4114.0,2,6,3,2,2,2,0,0,6
2,2,1,2,3057.5,2,8,8,8,1,2,1,1,8
2,2,1,1,1073.25,10,7,11,4,2,4,3,1,3
3,1,1,1,1327.5,0,0,0,0,5,1,0,0,0
2,2,0,1,4114.0,4,4,1,1,2,1,0,0,4
3,1,1,1,1327.5,11,12,0,0,7,5,4,2,17
2,2,1,1,4376.0,4,4,0,0,1,1,0,0,0
2,2,1,2,1224.0,1,4,7,7,13,15,0,1,3
1,1,1,1,3384.5,17,18,25,24,35,33,3,3,28
2,2,1,1,1252.5,0,0,36,40,6,2,2,1,4
2,2,1,1,4376.0,0,0,0,0,0,0,2,3,3
2,2,1,2,3057.5,7,13,7,7,1,4,1,3,12
2,2,1,1,3571.5,2,5,1,1,1,2,1,2,0
2,2,1,1,4114.0,0,2,3,2,1,1,0,0,0
3,2,1,2,1811.0,12,15,3,3,6,3,1,2,11
2,2,1,2,3057.5,0,0,0,0,2,2,0,0,0
3,1,1,2,1506.0,3,3,5,5,21,15,0,0,1
2,2,1,1,4114.0,3,8,3,3,0,0,0,0,8
3,2,0,2,1811.0,3,4,3,2,1,0,1,3,3
3,1,0,1,2299.5,28,36,13,14,14,21,5,3,30
2,2,1,1,4114.0,1,4,1,1,2,1,0,0,2
2,2,1,2,1224.0,8,7,4,5,2,4,0,0,3
2,2,1,2,3057.5,0,0,2,2,2,4,0,0,0
3,1,1,2,1506.0,0,0,6,6,27,22,0,0,0
2,2,1,1,2064.333333,21,15,0,0,1,3,1,1,4
3,1,1,2,1506.0,0,0,5,8,55,18,0,0,0
2,2,0,1,3571.5,1,2,2,2,5,2,0,0,2
2,2,1,1,1073.25,5,5,13,8,1,3,0,2,0
2,2,1,1,4114.0,5,7,3,2,0,1,0,0,2
1,1,1,1,3384.5,27,26,27,24,27,34,3,7,45
3,1,1,1,1327.5,10,12,0,0,5,3,0,1,15
2,2,1,1,1073.25,10,14,0,0,1,2,4,0,0
1,1,0,2,1852.0,4,2,3,4,7,6,3,4,2
2,2,1,1,4077.5,0,0,0,0,0,2,1,1,2
2,2,1,1,4077.5,11,4,2,1,0,3,4,2,7
1,1,1,2,1852.0,1,2,4,3,3,4,0,2,1
1,1,1,1,3384.5,4,3,26,26,14,18,2,3,7
2,1,1,1,1161.0,11,12,27,28,15,21,3,1,25
2,2,1,1,4114.0,3,3,5,6,0,0,0,0,0
3,1,0,1,2299.5,11,10,13,12,15,9,3,1,12
3,1,0,1,1327.5,14,9,0,0,5,1,1,1,10
3,1,1,1,1943.0,0,0,0,0,0,0,0,0,0
2,2,1,1,890.0,4,4,1,2,0,2,1,1,2
2,2,1,1,2064.333333,16,9,0,0,4,2,1,1,7
3,1,1,1,1327.5,4,5,4,4,11,17,0,0,0
2,2,0,1,1252.5,17,10,17,19,1,3,1,1,19
2,2,0,1,3571.5,13,9,4,3,4,1,0,0,19
